,Report Number,Report Date,Occur Date,Occur Time,Possible Date,Possible Time,Beat,Apartment Office Prefix,Apartment Number,Location,Shift Occurence,Location Type,UCR Literal,IBR Code,Neighborhood,NPU,Latitude,Longitude
117,90021395,2009-01-02,2008-12-20,1000,2009-01-02,1900.0,613.0,,,851 WILDWOOD RD NE,Evening Watch,20,BURGLARY-RESIDENCE,2204,Morningside/Lenox Park,F,33.80304,-84.35996
118,90021591,2009-01-02,2009-01-02,2110,2009-01-02,2130.0,208.0,,86,86 ROSWELL CT NE,Unknown,26,BURGLARY-RESIDENCE,2204,Buckhead Forest,B,33.84883,-84.38173999999998
119,90020104,2009-01-02,2009-01-02,0149,2009-01-02,150.0,401.0,,,994 RALPH D ABERNATHY BLVD SW,Morning Watch,99,BURGLARY-NONRES,2203,West End,T,33.73787,-84.42036
120,90020259,2009-01-02,2009-01-02,0549,2009-01-02,549.0,210.0,,,3393 PEACHTREE RD NE,Morning Watch,8,BURGLARY-NONRES,2203,Lenox,B,33.84676,-84.36212
121,90020296,2009-01-02,2009-01-02,0005,2009-01-02,5.0,306.0,,,1150 ASTOR AVE SW,Day Watch,26,BURGLARY-NONRES,2203,Sylvan Hills,X,33.70137,-84.42677999999998
122,90020359,2009-01-02,2009-01-02,0130,2009-01-02,800.0,506.0,,,775 JOSEPH E BOONE BLVD NW,Day Watch,17,BURGLARY-NONRES,2203,English Avenue,L,33.76369,-84.41281999999998
123,90020538,2009-01-02,2008-12-31,1600,2009-01-02,900.0,501.0,,C,691 IMAGE AVE NW,Day Watch,29,BURGLARY-NONRES,2203,Home Park,E,33.7812,-84.40994999999998
124,90020925,2009-01-02,2008-12-26,1200,2009-01-02,1200.0,108.0,,,172 DAHLIA AVE NW,Evening Watch,20,BURGLARY-NONRES,2203,Dixie Hills,J,33.75896,-84.4624
125,90020019,2009-01-02,2009-01-01,1730,2009-01-01,2330.0,605.0,,,964 HILL ST SE,Morning Watch,20,BURGLARY-RESIDENCE,2202,Grant Park,W,33.72814,-84.37829
126,90020126,2009-01-02,2009-01-01,1700,2009-01-02,150.0,302.0,,3,1186 IRA ST SW,Morning Watch,26,BURGLARY-RESIDENCE,2202,Pittsburgh,V,33.72267,-84.39994
127,90020277,2009-01-02,2008-12-31,2300,2009-01-02,600.0,609.0,,,201 WHITEFOORD AVE SE,Day Watch,20,BURGLARY-RESIDENCE,2202,Edgewood,O,33.74782,-84.34249
128,90020280,2009-01-02,2009-01-01,1200,2009-01-02,630.0,106.0,,,1207 NILES AVE NW,Day Watch,20,BURGLARY-RESIDENCE,2202,Knight Park/Howell Station,K,33.78283,-84.42673999999998
129,90020354,2009-01-02,2009-01-01,2200,2009-01-02,800.0,609.0,,D,100 MORELAND AVE SE,Day Watch,20,BURGLARY-RESIDENCE,2202,Edgewood,O,33.75069,-84.34912
130,90020372,2009-01-02,2009-01-02,0815,2009-01-02,841.0,612.0,,,639 CLIFTON RD SE,Day Watch,20,BURGLARY-RESIDENCE,2202,East Atlanta,W,33.73672,-84.33021999999998
131,90020456,2009-01-02,2009-01-02,0945,2009-01-02,952.0,304.0,,,939 HILL ST SE,Day Watch,20,BURGLARY-RESIDENCE,2202,Peoplestown,V,33.72884,-84.37891999999998
